Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
49,CoCrCuFeNiTi0.5,FCC,,0,0,0,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
50,CoCrCuFeNiTi0.8,FCC + Im,,1,0,0,0,0,0,0.172,0.172,0.172,0.172,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0.138,0,0,0,0,0
51,CoCrCuFeNiTi,FCC,,0,0,0,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
52,Al0.25CoCrCu0.75FeNiTi0.5,FCC,,0,0,0.045,0,0,0,0.182,0.182,0.136,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
53,Al0.5CoCrCuFeNi,FCC,210,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
54,AlCoCrCuFeNi,FCC + BCC,406,0,0,0.167,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
55,AlCoCrCuFeMnNi,FCC + BCC + Im,,1,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0.143,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
56,AlCoCrCuFeNiTi,FCC + BCC,,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
57,AlCoCrCuFeNiV,FCC + BCC,,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0.143,0,0,0,0
58,Al2.0CoCrCuFeNi,FCC + BCC,560,0,0,0.286,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
59,Al0.5CoCrCu0.5FeNiTi0.5,FCC + BCC,,0,0,0.091,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
60,Al0.75CoCrCu0.25FeNiTi0.5,FCC + BCC,,0,0,0.136,0,0,0,0.182,0.182,0.045,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
61,AlCoCrCuNiTi,BCC,,0,0,0.167,0,0,0,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
62,AlCoCrCuNiTiY0.5,Im,,1,0,0.154,0,0,0,0.154,0.154,0.154,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0.154,0,0,0.077,0,0
63,AlCoCrCuNiTiY0.8,Im,,1,0,0.147,0,0,0,0.147,0.147,0.147,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0.147,0,0,0.118,0,0
64,AlCoCrCuNiTiY,Im,,1,0,0.143,0,0,0,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0.143,0,0
65,AlCoFeNi,BCC,456,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
66,AlCrCuFeNiTi,BCC + IM,,1,0,0.167,0,0,0,0,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
67,Al1.125CuFe0.75NiTi1.125,FCC,516,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
