Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
856,CoFeNi1.2VMo,,602,0,0,0,0,0,0,0.192,0,0,0.192,0,0,0,0,0,0,0.192,0,0,0,0.231,0,0,0,0,0,0,0,0.192,0,0,0,0
857,CoFeNi1.4VMo,,537.53,0,0,0,0,0,0,0.185,0,0,0.185,0,0,0,0,0,0,0.185,0,0,0,0.259,0,0,0,0,0,0,0,0.185,0,0,0,0
858,CoFeNi1.6VMo,,520.4,0,0,0,0,0,0,0.179,0,0,0.179,0,0,0,0,0,0,0.179,0,0,0,0.286,0,0,0,0,0,0,0,0.179,0,0,0,0
859,CoFeNi1.8VMo,,510.3,0,0,0,0,0,0,0.172,0,0,0.172,0,0,0,0,0,0,0.172,0,0,0,0.31,0,0,0,0,0,0,0,0.172,0,0,0,0
860,CoFeNi2.0VMo,,382.27,0,0,0,0,0,0,0.167,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0.333,0,0,0,0,0,0,0,0.167,0,0,0,0
861,CoFeNiV,,238.07,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0
862,CoFeNiVMo,,624.6,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0
863,CoFeNiVMo0.2,,267.28,0,0,0,0,0,0,0.238,0,0,0.238,0,0,0,0,0,0,0.048,0,0,0,0.238,0,0,0,0,0,0,0,0.238,0,0,0,0
864,CoFeNiVMo0.4,,402.45,0,0,0,0,0,0,0.227,0,0,0.227,0,0,0,0,0,0,0.091,0,0,0,0.227,0,0,0,0,0,0,0,0.227,0,0,0,0
865,CoFeNiVMo0.6,,556.68,0,0,0,0,0,0,0.217,0,0,0.217,0,0,0,0,0,0,0.13,0,0,0,0.217,0,0,0,0,0,0,0,0.217,0,0,0,0
866,CoFeNiVMo0.8,,605.63,0,0,0,0,0,0,0.208,0,0,0.208,0,0,0,0,0,0,0.167,0,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0
867,CrFeNi2.0V0.5W,,305,0,0,0,0,0,0,0,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.364,0,0,0,0,0,0,0,0.091,0.182,0,0,0
868,CrFeNi2.0V0.5W0.25,,226,0,0,0,0,0,0,0,0.211,0,0.211,0,0,0,0,0,0,0,0,0,0,0.421,0,0,0,0,0,0,0,0.105,0.053,0,0,0
869,CrFeNi2.0V0.5W0.5,,289.3,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0.1,0,0,0
870,CrFeNi2.0V0.5W0.75,,289.3,0,0,0,0,0,0,0,0.19,0,0.19,0,0,0,0,0,0,0,0,0,0,0.381,0,0,0,0,0,0,0,0.095,0.143,0,0,0
871,CrFeNiV0.5W,,633,0,0,0,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0.111,0.222,0,0,0
872,CrFeNiV0.5W0.25,,869,0,0,0,0,0,0,0,0.267,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0.133,0.067,0,0,0
873,CrFeNiV0.5W0.5,,777,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.125,0,0,0
874,CrFeNiV0.5W0.75,,783,0,0,0,0,0,0,0,0.235,0,0.235,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0.118,0.176,0,0,0
875,CoCrFeNiNb0.103,FCC + Laves,,1,0,0,0,0,0,0.244,0.244,0,0.244,0,0,0,0,0,0,0,0,0.025,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0
876,CoCrFeNiNb0.155,FCC + Laves,,1,0,0,0,0,0,0.241,0.241,0,0.241,0,0,0,0,0,0,0,0,0.037,0,0.241,0,0,0,0,0,0,0,0,0,0,0,0
877,CoCrFeNiNb0.206,FCC + Laves,,1,0,0,0,0,0,0.238,0.238,0,0.238,0,0,0,0,0,0,0,0,0.049,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
878,CoCrFeNiNb0.309,FCC + Laves,,1,0,0,0,0,0,0.232,0.232,0,0.232,0,0,0,0,0,0,0,0,0.072,0,0.232,0,0,0,0,0,0,0,0,0,0,0,0
879,CoCrFeNiNb0.412,FCC + Laves,,1,0,0,0,0,0,0.227,0.227,0,0.227,0,0,0,0,0,0,0,0,0.093,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0
880,CoCrFeNiAl,BCC+FCC,625,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
881,FeCrNiCoCu0.5Al0.5,,245,0,0,0.1,0,0,0,0.2,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
882,FeCrNiCoCu0.5Al0.7,FCC+BCC,320,0,0,0.135,0,0,0,0.192,0.192,0.096,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0
883,FeCrNiCoCu0.5Al0.75,FCC+BCC,350,0,0,0.143,0,0,0,0.19,0.19,0.095,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
884,FeCrNiCoCu0.5Al0.8,FCC+BCC,410,0,0,0.151,0,0,0,0.189,0.189,0.094,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
885,FeCrNiCoCu0.5Al0.9,FCC+BCC,570,0,0,0.167,0,0,0,0.185,0.185,0.093,0.185,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0
886,FeCrNiCoCu0.5Al,,582,0,0,0.182,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
887,FeCrNiCoAl,BCC,555,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
888,FeCrNiCoAlCu0.1,BCC,575,0,0,0.196,0,0,0,0.196,0.196,0.02,0.196,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
889,FeCrNiCoAl0.5Cu0.5,FCC,245,0,0,0.1,0,0,0,0.2,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
890,FeCrNiCoAl0.5Cu0.75,FCC,245,0,0,0.095,0,0,0,0.19,0.19,0.143,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
891,FeCrNiCoAl0.5Cu,FCC,275,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
892,Al0.5CoCrCuFeNiSi0.0,FCC+BCC,263,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
893,Al0.5CoCrCuFeNiSi0.4,FCC+BCC,420,0,0,0.085,0,0,0,0.169,0.169,0.169,0.169,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0.068,0,0,0,0,0,0,0,0
894,Al0.5CoCrCuFeNiSi0.8,FCC+BCC,653,0,0,0.079,0,0,0,0.159,0.159,0.159,0.159,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0.127,0,0,0,0,0,0,0,0
895,Al0.25CrNbTiVZr,BCC +C14 (hcp) Laves,650,0,0,0.048,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0.19
896,Al0.25CrNbTiVZr,BCC +C14 (hcp) Laves,650,0,0,0.048,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0.19
897,Al0.25CrNbTiVZr,BCC +C14 (hcp) Laves,650,0,0,0.048,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0.19
898,Al0.25CrNbTiVZr,BCC +C14 (hcp) Laves,650,0,0,0.048,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0.19
899,Al0.5CrNbTiVZr,BCC +C14 (hcp) Laves,660,0,0,0.091,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0.182
900,Al0.5CrNbTiVZr,BCC +C14 (hcp) Laves,660,0,0,0.091,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0.182
901,Al0.5CrNbTiVZr,BCC +C14 (hcp) Laves,660,0,0,0.091,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0.182
902,Al0.5CrNbTiVZr,BCC +C14 (hcp) Laves,660,0,0,0.091,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0.182
903,AlCrNbTiVZr,BCC +C14 (hcp) Laves,670,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0.167
904,AlCrNbTiVZr,BCC +C14 (hcp) Laves,670,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0.167
905,AlCrNbTiVZr,BCC +C14 (hcp) Laves,670,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0.167
906,AlCrNbTiVZr,BCC +C14 (hcp) Laves,670,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0.167
907,CrNbTiVZr,BCC+FCC,520,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
908,CrNbTiVZr,BCC+FCC,520,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
909,CrNbTiVZr,BCC+FCC,520,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
910,CrNbTiVZr,BCC+FCC,520,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
911,AlCoCrFeNi,,534,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
912,AlCoCrFeNiV0.2,,557.6,0,0,0.192,0,0,0,0.192,0.192,0,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0.038,0,0,0,0
913,AlCoCrFeNiV0.5,,591.3,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0.091,0,0,0,0
914,AlCoCrFeNiV0.8,,624.8,0,0,0.172,0,0,0,0.172,0.172,0,0.172,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0.138,0,0,0,0
915,AlCoCrFeNiV,,648.8,0,0,0.167,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0.167,0,0,0,0
916,Al10.0Co25.0Cr8.0Fe15.0Ni36.0Ti6.0,FCC,340,0,0,0.1,0,0,0,0.25,0.08,0,0.15,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.06,0,0,0,0,0
917,Al23.0Co15.0Cr23.0Cu8.0Fe15.0Ni16.0,BCC,625,0,0,0.23,0,0,0,0.15,0.23,0.08,0.15,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
918,Al8.0Co17.0Cr17.0Cu8.0Fe17.0Ni33.0,FCC,260,0,0,0.08,0,0,0,0.17,0.17,0.08,0.17,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0
919,Al8.0Co18.0Cr14.0Cu8.0Fe17.0Ni33.0MoTiW,FCC,230,0,0,0.079,0,0,0,0.178,0.139,0.079,0.168,0,0,0,0,0,0,0.01,0,0,0,0.327,0,0,0,0,0,0,0.01,0,0.01,0,0,0
920,AlCoCrFeNi,BCC,570,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
921,AlCoCuCrFeNi,BCC,415,0,0,0.167,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
922,Al0.2Si0.2CrFeCoNiCu0.8,FCC,,0,0,0.038,0,0,0,0.192,0.192,0.154,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0.038,0,0,0,0,0,0,0,0
923,Al0.4Si0.2CrFeCoNCu0.6,FCC,,0,0,0.077,0,0,0,0.192,0.192,0.115,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
924,Al0.5Si0.2CrFeCoNCu0.5,FCC+BCC,,0,0,0.096,0,0,0,0.192,0.192,0.096,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
925,Al0.6Si0.2CrFeCoNCu0.4,BCC,,0,0,0.115,0,0,0,0.192,0.192,0.077,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
926,Al0.8Si0.2CrFeCoNCu0.2,BCC,,0,0,0.154,0,0,0,0.192,0.192,0.038,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
927,Al0.9Si0.2CrFeCoNCu0.1,BCC,,0,0,0.173,0,0,0,0.192,0.192,0.019,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
928,AlCuNiFeCr,BCC,938.7755,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
929,AlCuNiFeTi,BCC,1142.857,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
930,Zr35.0Ti30.0Nb20.0Al10.0Ta5.0,BCC+B2,311,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.05,0.3,0,0,0,0,0.35
931,Zr35.0Ti30.0Nb20.0Al10.0V5.0,BCC+B2,314,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.3,0.05,0,0,0,0.35
932,Cr25.0Mn12.5Fe25.0Ni25.0Cu12.5,BCC+FCC1+FCC2,,0,0,0,0,0,0,0,0.25,0.125,0.25,0,0,0,0,0,0.125,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
933,NiCoFeAlTi,FCC,216,0,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
934,TiZrHfNb,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
935,TiZrHfNb,BCC+nano-precipitates,,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
936,TiZrHfNb,BCC+nano-precipitates,,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
937,Al15.85Fe11.15Co32.11Cr10.76Ni30.13,FCC+BCC,,0,0,0.159,0,0,0,0.321,0.108,0,0.112,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0
938,Al0.4Ni0.4CrFe,BCC+B2,,1,0,0.143,0,0,0,0,0.357,0,0.357,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
939,CrMnFeCoNi,FCC+M23C6,,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
940,TiNbZr,,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0.333
941,TiNbZrMo0.3,,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0.303,0,0,0,0,0,0,0,0,0.303,0,0,0,0,0.303
942,TiNbZrMo0.5,,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0.286,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0.286
943,TiNbZrMo0.7,,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0.27,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.27
944,TiNbZrMo,,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
945,Al0.3CoCrFeNiTi0.0,BCC+B2,,1,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
946,Al0.3CoCrFeNiTi0.0,BCC+B2,,1,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
947,Al0.3CoCrFeNiTi0.0,BCC+B2,,1,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
948,Al0.3CoCrFeNiTi0.025,BCC+B2,,1,0,0.069,0,0,0,0.231,0.231,0,0.231,0,0,0,0,0,0,0,0,0,0,0.231,0,0,0,0,0,0,0.006,0,0,0,0,0
949,Al0.3CoCrFeNiTi0.075,BCC+B2,,1,0,0.069,0,0,0,0.229,0.229,0,0.229,0,0,0,0,0,0,0,0,0,0,0.229,0,0,0,0,0,0,0.017,0,0,0,0,0
950,Al0.3CoCrFeNiTi0.15,BCC+B2,,1,0,0.067,0,0,0,0.225,0.225,0,0.225,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0.034,0,0,0,0,0
951,Al0.3CoCrFeNiTi0.025,BCC+B2,,1,0,0.069,0,0,0,0.231,0.231,0,0.231,0,0,0,0,0,0,0,0,0,0,0.231,0,0,0,0,0,0,0.006,0,0,0,0,0
952,Al0.3CoCrFeNiTi0.075,BCC+B2,,1,0,0.069,0,0,0,0.229,0.229,0,0.229,0,0,0,0,0,0,0,0,0,0,0.229,0,0,0,0,0,0,0.017,0,0,0,0,0
953,Al0.3CoCrFeNiTi0.15,BCC+B2,,1,0,0.067,0,0,0,0.225,0.225,0,0.225,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0.034,0,0,0,0,0
954,(FeNi)67Cr15Mn9Al4Ti4Mo1,FCC+SIGMA PHASE,358.5,1,0,0.04,0,0,0,0,0.15,0,0.335,0,0,0,0,0,0.09,0.01,0,0,0,0.335,0,0,0,0,0,0,0.04,0,0,0,0,0
955,(FeNi)67Cr15Mn8Al4Ti4Mo2,FCC+SIGMA PHASE,411,1,0,0.04,0,0,0,0,0.15,0,0.335,0,0,0,0,0,0.08,0.02,0,0,0,0.335,0,0,0,0,0,0,0.04,0,0,0,0,0
956,(FeNi)67Cr15Mn7Al4Ti4Mo3,FCC+SIGMA PHASE,419,1,0,0.04,0,0,0,0,0.15,0,0.335,0,0,0,0,0,0.07,0.03,0,0,0,0.335,0,0,0,0,0,0,0.04,0,0,0,0,0
957,(FeNi)67Cr15Mn6Al4Ti4Mo4,FCC+SIGMA PHASE,439.2,1,0,0.04,0,0,0,0,0.15,0,0.335,0,0,0,0,0,0.06,0.04,0,0,0,0.335,0,0,0,0,0,0,0.04,0,0,0,0,0
958,(FeNi)67Cr15Mn5Al4Ti4Mo5,FCC+SIGMA PHASE,566.6,1,0,0.04,0,0,0,0,0.15,0,0.335,0,0,0,0,0,0.05,0.05,0,0,0,0.335,0,0,0,0,0,0,0.04,0,0,0,0,0
959,Al0.4Cr0.7Fe0.5Ni2.0V0.2,FCC,221,0,0,0.105,0,0,0,0,0.184,0,0.132,0,0,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0,0,0,0.053,0,0,0,0
960,Al0.4Cr0.7Fe0.5Ni2.0V0.2,FCC,413,0,0,0.105,0,0,0,0,0.184,0,0.132,0,0,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0,0,0,0.053,0,0,0,0
961,Al0.4Cr0.7Fe0.5Ni2.0V0.2,FCC+BCC+L1,714,1,0,0.105,0,0,0,0,0.184,0,0.132,0,0,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0,0,0,0.053,0,0,0,0
962,Al0.4Cr0.7FeNi2.0V0.2,FCC,155,0,0,0.093,0,0,0,0,0.163,0,0.233,0,0,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0.047,0,0,0,0
963,Al0.4Cr0.7FeNi2.0V0.2,FCC,414,0,0,0.093,0,0,0,0,0.163,0,0.233,0,0,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0.047,0,0,0,0
964,Al0.4Cr0.7FeNi2.0V0.2,FCC+BCC+L1,594,1,0,0.093,0,0,0,0,0.163,0,0.233,0,0,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0.047,0,0,0,0
965,Al0.4Cr0.7Fe2.0Ni2.0V0.2,FCC,137,0,0,0.075,0,0,0,0,0.132,0,0.377,0,0,0,0,0,0,0,0,0,0,0.377,0,0,0,0,0,0,0,0.038,0,0,0,0
966,Al0.4Cr0.7Fe2.0Ni2.0V0.2,FCC,331,0,0,0.075,0,0,0,0,0.132,0,0.377,0,0,0,0,0,0,0,0,0,0,0.377,0,0,0,0,0,0,0,0.038,0,0,0,0
967,Al0.4Cr0.7Fe2.0Ni2.0V0.2,FCC+BCC+L1,462,1,0,0.075,0,0,0,0,0.132,0,0.377,0,0,0,0,0,0,0,0,0,0,0.377,0,0,0,0,0,0,0,0.038,0,0,0,0
968,AlMo0.5NbTa0.5TiZr,BCC+HCP,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
969,(AlCoCrFeNi2.1)100,FCC+B2,,1,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
970,(AlCoCrFeNi2.1)99.7Re0.3,FCC+B2,,1,0,0.163,0,0,0,0.163,0.163,0,0.163,0,0,0,0,0,0,0,0,0,0,0.343,0,0.003,0,0,0,0,0,0,0,0,0,0
971,(AlCoCrFeNi2.1)99.4Re0.6,FCC+B2,,1,0,0.163,0,0,0,0.163,0.163,0,0.163,0,0,0,0,0,0,0,0,0,0,0.342,0,0.006,0,0,0,0,0,0,0,0,0,0
972,(AlCoCrFeNi2.1)99Re1,FCC+B2,,1,0,0.162,0,0,0,0.162,0.162,0,0.162,0,0,0,0,0,0,0,0,0,0,0.341,0,0.01,0,0,0,0,0,0,0,0,0,0
973,Al0.25CoFeNi,FCC,138,0,0,0.077,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
974,Al0.5CoFeNi,FCC+BCC,212,0,0,0.143,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
975,Al0.75CoFeNi,FCC+BCC,385,0,0,0.2,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0
976,AlCoFeNi,BCC,456,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
977,CoFeNi,FCC,125,0,0,0,0,0,0,0.333,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
978,CoFeNiSi0.25,FCC,149,0,0,0,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0.077,0,0,0,0,0,0,0,0
979,CoFeNiSi0.5,FCC+Sec.,287,1,0,0,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.143,0,0,0,0,0,0,0,0
980,CoFeNiSi0.75,FCC+Sec.,570,1,0,0,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0.2,0,0,0,0,0,0,0,0
981,CoCrFeNi,FCC,,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
982,CoCrMnNi,FCC,,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
983,CoCrNi,FCC,,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
984,CoFeMnNi,FCC,,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
985,CoFeNi,FCC,,0,0,0,0,0,0,0.333,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
986,CoMnNi,FCC,,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
987,FeMnNi,FCC,,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0.333,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
988,CoCrFeNb0.103Ni,FCC+Sec.,,1,0,0,0,0,0,0.244,0.244,0,0.244,0,0,0,0,0,0,0,0,0.025,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0
